code_uic;ville;villegare;region;departement;lat;lng
87988717;Lycée Henri Sellier;LIVRY GARGAN GARE LYCEE HENRI SELLIER TR;REGION DE PARIS-EST;Seine-Saint-Denis;48.91646;2.51504
87784876;Bourg-Madame;BOURG MADAME GARE;REGION LANGUEDOC-ROUSSILLON;Pyrénées-Orientales;42.4324069;1.9486704
87784819;Font-Romeu-Odeillo-Via;FONT ROMEU ODEILLO VIA GARE;REGION LANGUEDOC-ROUSSILLON;Pyrénées-Orientales;42.4912317;2.0383917
87784751;Thuès Carença;;REGION LANGUEDOC-ROUSSILLON;Pyrénées-Orientales;42.5229486;2.2227279
87784686;Villefranche - Vernet-les-Bains;VILLEFRANCHE VERNET LES BAINS GARE;REGION LANGUEDOC-ROUSSILLON;Pyrénées-Orientales;42.591998;2.370396
87784546;Millas;MILLAS GARE;REGION LANGUEDOC-ROUSSILLON;Pyrénées-Orientales;42.6888961;2.6937502
87784264;Port-Vendres;PORT VENDRES VILLE GARE;REGION LANGUEDOC-ROUSSILLON;Pyrénées-Orientales;42.5136077;3.1025762
87783670;Belvezet;BELVEZET GARE;REGION LANGUEDOC-ROUSSILLON;Lozère;44.5617971;3.7518919
87783654;Allenc;ALLENC GARE;REGION LANGUEDOC-ROUSSILLON;Lozère;44.541296;3.6638926
87783647;Bagnols - Chadenet;BAGNOLS CHADENET EX GARE;REGION LANGUEDOC-ROUSSILLON;Lozère;44.5286125;3.628178
87783423;Saint-Georges-de-Luzençon;SAINT GEORGES DE LUZENCON GARE;REGION LANGUEDOC-ROUSSILLON;Aveyron;44.066553;2.983784
87783282;Marvejols;MARVEJOLS GARE;REGION LANGUEDOC-ROUSSILLON;Lozère;44.5446819;3.2810718
87781542;Ceilhes - Roqueredonde;CEILHES ROQUEREDONDE EX GARE;REGION LANGUEDOC-ROUSSILLON;Hérault;43.8122656;3.1551583
87781534;Montpaon;MONTPAON GARE;REGION LANGUEDOC-ROUSSILLON;Aveyron;43.8685236;3.1097221
87781062;Port-la-Nouvelle;PORT LA NOUVELLE GARE;REGION LANGUEDOC-ROUSSILLON;Aude;43.0199342;3.0388188
87775817;Vauvert;VAUVERT GARE;REGION LANGUEDOC-ROUSSILLON;Gard;43.6950375;4.270165
87775528;Molières-sur-Cèze;;;Gard;;
87775346;Boucoiran-et-Nozières;BOUCOIRAN GARE;REGION LANGUEDOC-ROUSSILLON;Gard;43.9926943;4.187634
87775197;Villefort;VILLEFORT GARE;REGION LANGUEDOC-ROUSSILLON;Lozère;44.4395099;3.9240146
87773531;Vic - Mireval;VIC MIREVAL GARE;REGION LANGUEDOC-ROUSSILLON;Hérault;43.5007687;3.7994505
87773465;Saint-Aunès;SAINT AUNES GARE;REGION LANGUEDOC-ROUSSILLON;Hérault;43.6354383;3.9628994
87773002;Montpellier Saint-Roch;MONTPELLIER GARE;REGION LANGUEDOC-ROUSSILLON;Hérault;43.604738;3.880674
87765198;Bédarrides;BEDARRIDES GARE;REGION PROVENCE ALPES COTE D'AZUR;Vaucluse;44.0407636;4.8931321
87763755;Laragne-Montéglin;LARAGNE GARE;REGION PROVENCE ALPES COTE D'AZUR;Hautes-Alpes;44.3164984;5.8189832
87763557;L'Argentière Les Écrins;L ARGENTIERE LA BESSEE GARE;REGION PROVENCE ALPES COTE D'AZUR;Hautes-Alpes;44.7909802;6.5564162
87763508;Mont-Dauphin - Guillestre;MONTDAUPHIN GUILLESTRE GARE;REGION PROVENCE ALPES COTE D'AZUR;Hautes-Alpes;44.6746283;6.6156027
87763466;Embrun;EMBRUN GARE;REGION PROVENCE ALPES COTE D'AZUR;Hautes-Alpes;44.567008;6.496773
87763425;Chorges;CHORGES GARE;REGION PROVENCE ALPES COTE D'AZUR;Hautes-Alpes;44.5458415;6.2718887
87761262;Loriol-sur-Drôme;LORIOL GARE;REGION RHONE-ALPES;Drôme;44.7544973;4.8171679
87757690;Biot;BIOT GARE;REGION PROVENCE ALPES COTE D'AZUR;Alpes-Maritimes;43.610951;7.126090
87757591;Mandelieu-la-Napoule;MANDELIEU LA NAPOULE GARE;REGION PROVENCE ALPES COTE D'AZUR;Alpes-Maritimes;43.523903;6.941313
87757542;Le Dramont;LE DRAMONT HALTE;REGION PROVENCE ALPES COTE D'AZUR;Var;43.4178193;6.8442467
87757534;Boulouris sur Mer;BOULOURIS SUR MER GARE;REGION PROVENCE ALPES COTE D'AZUR;Var;43.4163471;6.8082519
87756882;Tende;TENDE GARE;REGION PROVENCE ALPES COTE D'AZUR;Alpes-Maritimes;44.089922;7.5941608
87756874;La Brigue;LA BRIGUE GARE;REGION PROVENCE ALPES COTE D'AZUR;Alpes-Maritimes;44.0625669;7.6056235
87756866;Saint-Dalmas de Tende;SAINT DALMAS DE TENDE P GARE;REGION PROVENCE ALPES COTE D'AZUR;Alpes-Maritimes;44.05582;7.5834505
87756775;Drap - Cantaron;DRAP CANTARON P GARE;REGION PROVENCE ALPES COTE D'AZUR;Alpes-Maritimes;43.7599599;7.3168739
87756353;Nice Riquier;NICE RIQUIER GARE;REGION PROVENCE ALPES COTE D'AZUR;Alpes-Maritimes;43.705554;7.290175
87756007;Nice Saint Roch;;;Alpes-Maritimes;43.715342;7.286869
87755397;Gonfaron;GONFARON GARE;REGION PROVENCE ALPES COTE D'AZUR;Var;43.3171516;6.2817644
87755371;Carnoules;CARNOULES GARE;REGION PROVENCE ALPES COTE D'AZUR;Var;43.2974104;6.1862531
87755355;Cuers - Pierrefeu;CUERS PIERREFEU GARE;REGION PROVENCE ALPES COTE D'AZUR;Var;43.2364281;6.0856855
87755314;La Pauline Hyères;LA PAULINE HYERES GARE;REGION PROVENCE ALPES COTE D'AZUR;Var;43.1364769;6.0351027
87753582;Niolon;NIOLON GARE;REGION PROVENCE ALPES COTE D'AZUR;Bouches-du-Rhône;43.340223;5.2569415
87753574;La Redonne Ensuès;LA REDONNE ENSUES P GARE;REGION PROVENCE ALPES COTE D'AZUR;Bouches-du-Rhône;43.33447;5.1975675
87753426;Rassuen;RASSUEN GARE;REGION PROVENCE ALPES COTE D'AZUR;Bouches-du-Rhône;43.4966716;4.9731266
87753418;Istres;ISTRES GARE;REGION PROVENCE ALPES COTE D'AZUR;Bouches-du-Rhône;43.5153953;4.9804272
87751776;Cassis;CASSIS GARE;REGION PROVENCE ALPES COTE D'AZUR;Bouches-du-Rhône;43.234060;5.553055
87751362;Pertuis;;;Vaucluse;43.6845547;5.5037023
87751271;La Brillanne - Oraison;LA BRILLANNE ORAISON GARE;REGION PROVENCE ALPES COTE D'AZUR;Alpes-de-Haute-Provence;43.9247771;5.8923199
87751230;Château-Arnoux-Saint-Auban;SAINT AUBAN GARE;REGION PROVENCE ALPES COTE D'AZUR;Alpes-de-Haute-Provence;44.0615651;5.9973734
87747576;Vif;VIF GARE;REGION ALPES;Isère;45.0476532;5.6854542
87747329;Moirans;MOIRANS GARE;REGION ALPES;Isère;45.322185;5.581915
87747204;Virieu sur Bourbre;VIRIEU SUR BOURBRE GARE;REGION ALPES;;45.491703;5.4721424
87746883;Le Buet;LE BUET GARE;REGION ALPES;Haute-Savoie;46.018805;6.9204119
87746842;La Joux;LA JOUX (HTE SAVOIE) HALTE;REGION ALPES;Haute-Savoie;45.9657075;6.910179
87746776;Les Pélerins;LES PELERINS GARE;REGION ALPES;Haute-Savoie;45.9125671;6.8472858
87746719;Servoz;SERVOZ GARE;REGION ALPES;Haute-Savoie;45.9244592;6.763444
87746511;Reignier-Ésery;REIGNIER GARE;REGION ALPES;Haute-Savoie;46.1256159;6.2675466
87746438;Sallanches - Combloux - Megève;SALLANCHES COMBLOUX MEGEVE GARE;REGION ALPES;Haute-Savoie;45.935702;6.636431
87746412;Magland;MAGLAND GARE;REGION ALPES;Haute-Savoie;46.016945;6.6215075
87746313;Saint-Pierre-en-Faucigny;SAINT PIERRE EN FAUCIGNY GARE;REGION ALPES;Haute-Savoie;46.0593442;6.3757533
87746206;Pringy;PRINGY (HAUTE SAVOIE) GARE;REGION ALPES;Haute-Savoie;45.9395239;6.1232736
87746008;Annecy;ANNECY GARE;REGION ALPES;Haute-Savoie;45.901965;6.121835
87745620;Perrignier;PERRIGNIER GARE;REGION ALPES;Haute-Savoie;46.303259;6.4249208
87745414;Valleiry;VALLEIRY GARE;REGION ALPES;Haute-Savoie;46.1092875;5.96735
87743534;Oyonnax;OYONNAX GARE;REGION ALPES;Ain;46.259742;5.653338
87743344;Cize - Bolozon;CIZE BOLOZON GARE;REGION ALPES;Ain;46.2134803;5.4540677
87743146;Ambronay - Priay;AMBRONAY PRIAY GARE;REGION ALPES;Ain;46.0115941;5.3382579
87743120;Pont-d'Ain;PONT D AIN GARE;REGION ALPES;Ain;46.053961;5.3343285
87741694;Notre-Dame de Briançon;NOTRE DAME DE BRIANCON GARE;REGION ALPES;Savoie;45.5393185;6.4687785
87741629;Frontenex;FRONTENEX GARE;REGION ALPES;Savoie;45.6305461;6.3140556
87741454;Saint-Béron - La Bridoire;SAINT BERON LA BRIDOIRE GARE;REGION ALPES;Savoie;45.5038935;5.7319345
87741439;Lépin-le-Lac - La Bauche;LEPIN LE LAC LA BAUCHE GARE;REGION ALPES;Savoie;45.541519;5.7649834
87741280;Épierre - Saint-Léger;EPIERRE GARE;REGION ALPES;Savoie;45.457027;6.292521
87741256;Aiguebelle;AIGUEBELLE GARE;REGION ALPES;;45.5437225;6.3067175
87741181;Montmélian;MONTMELIAN GARE;REGION ALPES;Savoie;45.503059;6.043289
87734699;Le Puy-en-Velay;LE PUY GARE;REGION AUVERGNE;Haute-Loire;45.042866;3.892421
87734319;Langeac;LANGEAC GARE;REGION AUVERGNE;Haute-Loire;45.10125;3.490672
87734301;Saint-Georges-d'Aurac;SAINT GEORGES D AURAC GARE;REGION AUVERGNE;Haute-Loire;45.1605341;3.4947035
87734186;Vic-le-Comte;VIC LE COMTE GARE;REGION AUVERGNE;Puy-de-Dôme;45.664911;3.207079
87734178;Les Martres-de-Veyre;LES MARTRES DE VEYRE GARE;REGION AUVERGNE;Puy-de-Dôme;45.688155;3.193228
87734152;Sarliève - Cournon;SARLIEVE COURNON GARE;REGION AUVERGNE;Puy-de-Dôme;45.7387697;3.1681196
87734129;Aigueperse;AIGUEPERSE GARE;REGION AUVERGNE;Puy-de-Dôme;46.0147884;3.1982621
87734111;Aubiat;AUBIAT GARE;REGION AUVERGNE;Puy-de-Dôme;45.983812;3.1605115
87734046;Gerzat;GERZAT GARE;REGION AUVERGNE;Puy-de-Dôme;45.8335879;3.1431045
87734038;Royat - Chamalières;ROYAT CHAMALIERES GARE;REGION AUVERGNE;Puy-de-Dôme;45.7676495;3.0615022
87728501;Saint-Fons;SAINT FONS GARE;REGION RHONE-ALPES;Rhône;45.7058114;4.8525663
87726885;Montrond-les-Bains;MONTROND LES BAINS P GARE;REGION RHONE-ALPES;Loire;45.644429;4.248814
87726877;Feurs;FEURS GARE;REGION RHONE-ALPES;Loire;45.744156;4.230573
87726794;Beauzac;;;;;
87726430;Saint-Romain-le-Puy;SAINT ROMAIN LE PUY GARE;REGION RHONE-ALPES;Loire;45.5545543;4.1208275
87726406;Andrézieux-Bouthéon;ANDREZIEUX GARE;REGION RHONE-ALPES;Loire;45.5217037;4.254834
87726216;Bouthéon;BOUTHEON GARE;REGION RHONE-ALPES;Loire;45.5246289;4.2777187
87726190;Saint-Étienne Bellevue;SAINT ETIENNE BELLEVUE GARE;REGION RHONE-ALPES;Loire;45.417128;4.392734
87726158;Saint-Étienne La Terrasse;SAINT ETIENNE LA TERRASSE GARE;REGION RHONE-ALPES;Loire;45.464843;4.379601
87726000;Saint-Étienne Châteaucreux;SAINT ETIENNE CHATEAUCREUX GARE;REGION RHONE-ALPES;Loire;45.443366;4.399722
87725838;Mézériat;MEZERIAT GARE;REGION ALPES;Ain;46.2350502;5.046622
87725804;Pont-de-Veyle;PONT DE VEYLE GARE;REGION ALPES;Ain;46.2679114;4.8930347
